2019/09/16 03:05:52 ...dules/setting/log.go:269:newLogService() [I] Gitea Log Mode: File(File:info)
2019/09/16 03:05:52 ...les/setting/cache.go:45:newCacheService() [I] Cache Service Enabled
2019/09/16 03:05:52 ...s/setting/session.go:44:newSessionService() [I] Session Service Enabled
2019/09/16 03:05:52 routers/init.go:49:initDBEngine() [I] Beginning ORM engine initialization.
2019/09/16 03:05:52 routers/init.go:51:initDBEngine() [I] ORM engine initialization attempt #1/10...
2019/09/16 03:05:52 ...-xorm/xorm/engine.go:330:Ping() [I] PING DATABASE sqlite3
2019/09/16 03:05:52 .../xorm/session_raw.go:76:queryRows() [I] [SQL] SELECT name FROM sqlite_master WHERE type='table' and name = ? []interface {}{"version"} - took: 39.089µs
2019/09/16 03:05:52 .../xorm/session_raw.go:194:exec() [I] [SQL] CREATE TABLE IF NOT EXISTS `version` (`id` INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL, `version` INTEGER NULL) - took: 2.900403ms
2019/09/16 03:05:52 ...m/dialect_sqlite3.go:260:IsColumnExist() [I] [SQL] SELECT name FROM sqlite_master WHERE type='table' and name = ? and ((sql like '%`id`%') or (sql like '%[id]%')) [version]
2019/09/16 03:05:52 ...m/dialect_sqlite3.go:260:IsColumnExist() [I] [SQL] SELECT name FROM sqlite_master WHERE type='table' and name = ? and ((sql like '%`version`%') or (sql like '%[version]%')) [version]
2019/09/16 03:05:52 .../xorm/session_raw.go:76:queryRows() [I] [SQL] SELECT `id`, `version` FROM `version` WHERE `id`=? LIMIT 1 []interface {}{1} - took: 20.838µs
2019/09/16 03:05:52 .../xorm/session_raw.go:194:exec() [I] [SQL] INSERT INTO `version` (`version`) VALUES (?) []interface {}{94} - took: 2.532121ms
2019/09/16 03:05:52 ...m/dialect_sqlite3.go:359:GetTables() [I] [SQL] SELECT name FROM sqlite_master WHERE type='table'
2019/09/16 03:05:52 ...m/dialect_sqlite3.go:276:GetColumns() [I] [SQL] SELECT sql FROM sqlite_master WHERE type='table' and name = ? [user]
2019/09/16 03:05:52 ...m/dialect_sqlite3.go:385:GetIndexes() [I] [SQL] SELECT sql FROM sqlite_master WHERE type='index' and tbl_name = ? [user]
2019/09/16 03:05:52 ...m/dialect_sqlite3.go:276:GetColumns() [I] [SQL] SELECT sql FROM sqlite_master WHERE type='table' and name = ? [public_key]
2019/09/16 03:05:52 ...m/dialect_sqlite3.go:385:GetIndexes() [I] [SQL] SELECT sql FROM sqlite_master WHERE type='index' and tbl_name = ? [public_key]
2019/09/16 03:05:52 ...m/dialect_sqlite3.go:276:GetColumns() [I] [SQL] SELECT sql FROM sqlite_master WHERE type='table' and name = ? [access_token]
2019/09/16 03:05:52 ...m/dialect_sqlite3.go:385:GetIndexes() [I] [SQL] SELECT sql FROM sqlite_master WHERE type='index' and tbl_name = ? [access_token]
2019/09/16 03:05:52 ...m/dialect_sqlite3.go:276:GetColumns() [I] [SQL] SELECT sql FROM sqlite_master WHERE type='table' and name = ? [repository]
2019/09/16 03:05:52 ...m/dialect_sqlite3.go:385:GetIndexes() [I] [SQL] SELECT sql FROM sqlite_master WHERE type='index' and tbl_name = ? [repository]
2019/09/16 03:05:52 ...m/dialect_sqlite3.go:276:GetColumns() [I] [SQL] SELECT sql FROM sqlite_master WHERE type='table' and name = ? [deploy_key]
